Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6704432,1,1.340886,0.3352216,0
Number Invariant Sites Excluding Ambiguous,0.3105631,0.8833722,0.6211263,0.2135955,0.5274463
Max Invariant Block Length,0.6704432,1,1.340886,0.3352216,0
Max Invariant Block Length Excluding Ambiguous,0.994002,0.1206265,0.2412529,0.9366878,2.775062
Max Pairwise Difference,1,0.006331223,0.01266245,0.9968344,2.990112
Max Pairwise Difference Excluding Ambiguous,1,0.6867711,1.373542,0.6566145,0
Max Variable Block Length,1,0.6704432,1.340886,0.6647784,0
Max Variable Block Length Excluding Ambiguous,1,0.4518494,0.9036988,0.7740753,0.4233489
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.6704432,1,1.340886,0.3352216,0
Number Invariable Block Excluding Ambiguous,0.2019327,0.9650117,0.4038654,0.1184605,1.316532
Segregating-Sites,1,0.6704432,1.340886,0.6647784,0
Theta,1,0.6704432,1.340886,0.6647784,0
Tajima-D,0.8593802,0.140953,0.281906,0.8592136,1.040693
Tajima-Pi,0.8810397,0.1192936,0.2385871,0.880873,1.139163
