Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2771486,0.8740839,0.5542971,0.2015323,0.9714718
Number Invariant Sites Excluding Ambiguous,0.2684877,0.8047968,0.5369753,0.2318454,0.9028881
Max Invariant Block Length,0.4330446,0.9900067,0.8660893,0.221519,1.225823
Max Invariant Block Length Excluding Ambiguous,0.5243171,0.7081945,1.048634,0.4080613,0
Max Pairwise Difference,0.9853431,0.03730846,0.07461692,0.9740173,2.272012
Max Pairwise Difference Excluding Ambiguous,0.6955363,0.5076616,1.015323,0.5939374,0
Max Variable Block Length,0.7668221,0.3171219,0.6342438,0.7248501,0.3716805
Max Variable Block Length Excluding Ambiguous,0.9646902,0.08727515,0.1745503,0.9387075,1.548027
Min Pairwise Difference,0.769487,1,1.538974,0.3847435,0
Min Pairwise Difference Excluding Ambiguous,0.7714857,0.3477682,0.6955363,0.7118588,0.8573575
Number Invariable Block,0.4410393,0.7961359,0.8820786,0.3224517,0.6030916
Number Invariable Block Excluding Ambiguous,0.6189207,0.5969354,1.193871,0.5109927,0
Segregating-Sites,0.8740839,0.2771486,0.5542971,0.7984677,0.9714718
Theta,0.8740839,0.2771486,0.5542971,0.7984677,0.9714717
Tajima-D,0.7974684,0.206529,0.413058,0.7954697,0.8757732
Tajima-Pi,0.8327781,0.1805463,0.3610926,0.8261159,1.019514
