Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9746751,0.2135955,0.4271909,0.8805398,2.019138
Number Invariant Sites Excluding Ambiguous,0.9353549,1,1.87071,0.4676774,0
Max Invariant Block Length,0.9926691,0.2135955,0.4271909,0.8895368,2.304116
Max Invariant Block Length Excluding Ambiguous,0.9953349,1,1.99067,0.4976674,0
Max Pairwise Difference,1,0.4125292,0.8250583,0.7937354,1.166457
Max Pairwise Difference Excluding Ambiguous,0.9946684,0.131956,0.263912,0.9313562,1.733586
Max Variable Block Length,0.2135955,0.8270576,0.4271909,0.1932689,0.4558069
Max Variable Block Length Excluding Ambiguous,1,0.9353549,1.87071,0.5323226,0
Min Pairwise Difference,0.9210263,1,1.842053,0.4605132,0
Min Pairwise Difference Excluding Ambiguous,0.9136954,1,1.827391,0.4568477,0
Number Invariable Block,0.9810063,0.2135955,0.4271909,0.8837054,2.119541
Number Invariable Block Excluding Ambiguous,0.9390203,1,1.878041,0.4695102,0
Segregating-Sites,0.2135955,0.9746751,0.4271909,0.1194602,2.019138
Theta,0.2135955,0.9746751,0.4271909,0.1194602,2.019138
Tajima-D,0.9583472,0.04165278,0.08330556,0.9583472,1.422732
Tajima-Pi,0.8717094,0.128957,0.257914,0.8713762,0.9599874
