Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4555148,0.8327224,0.9110297,0.3113962,0.6673653
Number Invariant Sites Excluding Ambiguous,0.6037987,0.5424858,1.084972,0.5306564,0
Max Invariant Block Length,0.8607131,0.8327224,1.665445,0.5139953,0
Max Invariant Block Length Excluding Ambiguous,0.9810063,0.03265578,0.06531156,0.9741753,2.919182
Max Pairwise Difference,1,0.001666111,0.003332223,0.9991669,2.802377
Max Pairwise Difference Excluding Ambiguous,0.9960013,0.02332556,0.04665112,0.9863379,1.692354
Max Variable Block Length,0.2912363,0.7530823,0.5824725,0.269077,0.7080278
Max Variable Block Length Excluding Ambiguous,0.9146951,0.1162946,0.2325891,0.8992003,1.462648
Min Pairwise Difference,1,0.4478507,0.8957014,0.7760746,2.010633
Min Pairwise Difference Excluding Ambiguous,0.2815728,0.8490503,0.5631456,0.2162612,0.9141279
Number Invariable Block,0.4825058,0.8327224,0.9650117,0.3248917,0.7647164
Number Invariable Block Excluding Ambiguous,0.0703099,0.9883372,0.1406198,0.04098634,1.729689
Segregating-Sites,0.8327224,0.4555148,0.9110297,0.6886038,0.6673653
Theta,0.8327224,0.4555148,0.9110297,0.6886038,0.6673602
Tajima-D,0.8953682,0.1069643,0.2139287,0.8942019,1.212462
Tajima-Pi,0.9523492,0.05398201,0.107964,0.9491836,1.508471
