Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6394535,0.6254582,1.250916,0.5069977,0
Number Invariant Sites Excluding Ambiguous,0.7397534,0.4808397,0.9616794,0.6294568,0.5915268
Max Invariant Block Length,0.9776741,0.1856048,0.3712096,0.8960347,1.632399
Max Invariant Block Length Excluding Ambiguous,0.9113629,0.1696101,0.3392203,0.8708764,1.748683
Max Pairwise Difference,1,0.01399533,0.02799067,0.9930023,1.969422
Max Pairwise Difference Excluding Ambiguous,0.9693436,0.1206265,0.2412529,0.9243585,1.651834
Max Variable Block Length,0.8153949,0.2445851,0.4891703,0.7854049,0.8304682
Max Variable Block Length Excluding Ambiguous,0.8150616,0.4915028,0.9830057,0.6617794,0.2138175
Min Pairwise Difference,0.3732089,0.8353882,0.7464179,0.2689104,0.5905779
Min Pairwise Difference Excluding Ambiguous,0.3032323,0.8360546,0.6064645,0.2335888,0.95022
Number Invariable Block,0.4098634,0.8767078,0.8197268,0.2665778,0.7944396
Number Invariable Block Excluding Ambiguous,0.3948684,0.9423525,0.7897368,0.2262579,0.9269339
Segregating-Sites,0.6254582,0.6394535,1.250916,0.4930023,0
Theta,0.6254582,0.6394535,1.250916,0.4930023,0
Tajima-D,0.9140287,0.08630457,0.1726091,0.913862,1.30259
Tajima-Pi,0.9306898,0.07264245,0.1452849,0.9290237,1.256778
