Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6868754,0.6575616,1.315123,0.5146569,0
Number Invariant Sites Excluding Ambiguous,0.8401066,0.236509,0.473018,0.8017988,1.000785
Max Invariant Block Length,0.9387075,0.6575616,1.315123,0.640573,0
Max Invariant Block Length Excluding Ambiguous,0.7408394,0.7621586,1.481679,0.4893404,0
Max Pairwise Difference,0.9380413,0.2211859,0.4423718,0.8584277,1.243677
Max Pairwise Difference Excluding Ambiguous,1,0.09127249,0.182545,0.9543638,1.323147
Max Variable Block Length,0.6575616,0.3864091,0.7728181,0.6355763,1.09146
Max Variable Block Length Excluding Ambiguous,0.1259161,0.9107262,0.2518321,0.1075949,1.657079
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9193871,1,1.838774,0.4596935,0
Number Invariable Block,0.7121919,0.6575616,1.315123,0.5273151,0
Number Invariable Block Excluding Ambiguous,0.8907395,0.206529,0.413058,0.8421053,0.9947576
Segregating-Sites,0.6575616,0.6868754,1.315123,0.4853431,0
Theta,0.6575616,0.6868754,1.315123,0.4853431,0
Tajima-D,0.6102598,0.3897402,0.7794803,0.6102598,0.3171722
Tajima-Pi,0.6182545,0.3824117,0.7648235,0.6179214,0.3385666
