Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4023984,0.8181213,0.8047968,0.2921386,0.5507901
Number Invariant Sites Excluding Ambiguous,0.5642905,0.5542971,1.108594,0.5049967,0
Max Invariant Block Length,0.6508994,0.9586942,1.301799,0.3461026,0
Max Invariant Block Length Excluding Ambiguous,0.6369087,0.5096602,1.01932,0.5636243,0
Max Pairwise Difference,0.7115256,0.4183877,0.8367755,0.646569,0.4081166
Max Pairwise Difference Excluding Ambiguous,0.8447702,0.3177881,0.6355763,0.763491,0.508641
Max Variable Block Length,0.9133911,0.1272485,0.254497,0.8930713,1.153078
Max Variable Block Length Excluding Ambiguous,0.5436376,0.7481679,1.087275,0.3977348,0
Min Pairwise Difference,0.8954031,0.4530313,0.9060626,0.7211859,1.38576
Min Pairwise Difference Excluding Ambiguous,0.7288474,0.443038,0.8860759,0.6429047,0.50075
Number Invariable Block,0.4863424,0.787475,0.9726849,0.3494337,0.6660228
Number Invariable Block Excluding Ambiguous,0.8201199,0.3724184,0.7448368,0.7238508,0.6104823
Segregating-Sites,0.8181213,0.4023984,0.8047968,0.7078614,0.5507901
Theta,0.8181213,0.4023984,0.8047968,0.7078614,0.5507921
Tajima-D,0.5876083,0.4183877,0.8367755,0.5846103,0.2425758
Tajima-Pi,0.6349101,0.3864091,0.7728181,0.6242505,0.3565481
