Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.8093969,0.3408864,0.6817727,0.7342552,0.5362112
Number Invariant Sites Excluding Ambiguous,0.0006664445,1,0.001332889,0.0003332223,2.630421
Max Invariant Block Length,0.9770077,0.2002666,0.4005332,0.8883705,1.775901
Max Invariant Block Length Excluding Ambiguous,0.1766078,1,0.3532156,0.0883039,1.306469
Max Pairwise Difference,0.9780073,0.05864712,0.1172942,0.9596801,1.689864
Max Pairwise Difference Excluding Ambiguous,1,0.002665778,0.005331556,0.9986671,2.357993
Max Variable Block Length,0.5938021,0.4381873,0.8763745,0.5778074,0.1755911
Max Variable Block Length Excluding Ambiguous,0.979007,0.04065312,0.08130623,0.9691769,2.036727
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.976008,0.1122959,0.2245918,0.931856,1.60776
Number Invariable Block,0.4838387,0.7544152,0.9676774,0.3647118,0.6122216
Number Invariable Block Excluding Ambiguous,0.01232922,0.9976674,0.02465845,0.00733089,2.127157
Segregating-Sites,0.3408864,0.8093969,0.6817727,0.2657448,0.5362112
Theta,0.3408864,0.8093969,0.6817727,0.2657448,0.5362031
Tajima-D,0.9980007,0.001999334,0.003998667,0.9980007,2.645866
Tajima-Pi,0.9953349,0.004665112,0.009330223,0.9953349,2.440878
