Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.03131246,0.9906729,0.06262492,0.02031979,2.064101
Number Invariant Sites Excluding Ambiguous,0.009327115,0.9960027,0.01865423,0.006662225,2.520796
Max Invariant Block Length,0.7181879,0.7561626,1.436376,0.4810127,0
Max Invariant Block Length Excluding Ambiguous,0.5822785,0.5909394,1.164557,0.4956696,0
Max Pairwise Difference,1,0,0,1,6.440981
Max Pairwise Difference Excluding Ambiguous,1,0.0006662225,0.001332445,0.9996669,3.587783
Max Variable Block Length,0.9980013,0.001998668,0.003997335,0.9980013,5.358403
Max Variable Block Length Excluding Ambiguous,1,0.001332445,0.00266489,0.9993338,6.110058
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.01132578,0.9986676,0.02265157,0.006329114,2.452865
Number Invariable Block Excluding Ambiguous,0.00532978,0.9986676,0.01065956,0.003331113,2.75324
Segregating-Sites,0.9906729,0.03131246,0.06262492,0.9796802,2.064101
Theta,0.9906729,0.03131246,0.06262492,0.9796802,2.0641
Tajima-D,1,0,0,1,4.611114
Tajima-Pi,1,0,0,1,5.413385
