"taxa" "min" "max"
"84" "CCL-A1_1970" 1970 1970
"88" "CCL-C1_1970" 1970 1970
"85" "CCL-D1_1970" 1970 1970
"86" "CCL-D2_1970" 1970 1970
"87" "CCL-E1_1970" 1970 1970
"89" "CCL-F1_1970" 1970 1970
"90" "CCL-F2_1989" 1989 1989
"98" "CCL-G1_2008" 2008 2008
"91" "CCL-H1_1989" 1989 1989
"99" "CCL-I1_2010" 2010 2010
"92" "CCL-J1_1989" 1989 1989
"93" "CCL-K1_2008" 2008 2008
"94" "CCL-K1_2009" 2009 2009
"95" "CCL-K1_2010" 2010 2010
"96" "CCL-K1_2011" 2011 2011
"97" "CCL-K1_2012" 2012 2012
"100" "CCL-K2_2011" 2011 2011
"101" "CCL-L1_2013" 2013 2013
"102" "CCL-L1_2014" 2014 2014
"103" "CCL-L1_2015" 2015 2015
"104" "CCL-L1_2016" 2016 2016
"105" "CCL-L1_2017" 2017 2017
"106" "CCL-L1_2018" 2018 2018
"107" "CCL-L1_2019" 2019 2019
"108" "CCL-L2_2013" 2013 2013
"109" "CCL-L2_2014" 2014 2014
"110" "CCL-L2_2015" 2015 2015
"111" "CCL-L2_2016" 2016 2016
"112" "CCL-L2_2017" 2017 2017
"113" "CCL-L2_2018" 2018 2018
"114" "CCL-L2_2019" 2019 2019
"115" "CCL-M1_2014" 2014 2014
"116" "CCL-N1_2015" 2015 2015
"117" "CCL-N1_2016" 2016 2016
"118" "CCL-N1_2017" 2017 2017
"119" "CCL-N1_2018" 2018 2018
"120" "CCL-N1_2019" 2019 2019
"383" "CCL-N2_2019" 2019 2019
