Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7315123,0.6362425,1.272485,0.5476349,0
Number Invariant Sites Excluding Ambiguous,0.9913391,0.02331779,0.04663558,0.9840107,2.709317
Max Invariant Block Length,0.9273817,0.6362425,1.272485,0.6455696,0
Max Invariant Block Length Excluding Ambiguous,0.9473684,0.2524983,0.5049967,0.847435,1.155813
Max Pairwise Difference,0.5469687,0.8640906,1.093937,0.341439,0
Max Pairwise Difference Excluding Ambiguous,1,0.1145903,0.2291805,0.9427049,1.589653
Max Variable Block Length,0.3870753,0.6335776,0.7741506,0.3767488,1.639733
Max Variable Block Length Excluding Ambiguous,0.637575,0.4703531,0.9407062,0.5836109,0.250821
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.03864091,0.9853431,0.07728181,0.0266489,2.312601
Number Invariable Block,0.7661559,0.6362425,1.272485,0.5649567,0
Number Invariable Block Excluding Ambiguous,0.988008,0.02998001,0.05996003,0.979014,2.364696
Segregating-Sites,0.6362425,0.7315123,1.272485,0.4523651,0
Theta,0.6362425,0.7315123,1.272485,0.4523651,0
Tajima-D,0.001332445,0.9986676,0.00266489,0.001332445,5.308765
Tajima-Pi,0.001332445,0.9986676,0.00266489,0.001332445,5.756304
