Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3031312,0.8834111,0.6062625,0.2098601,0.5294006
Number Invariant Sites Excluding Ambiguous,0.3944037,0.7195203,0.7888075,0.3374417,0.2996834
Max Invariant Block Length,0.5996003,0.976016,1.199201,0.3117921,0
Max Invariant Block Length Excluding Ambiguous,0.592938,0.5476349,1.09527,0.5226516,0
Max Pairwise Difference,0.9493671,0.1072618,0.2145237,0.9210526,1.583162
Max Pairwise Difference Excluding Ambiguous,0.9387075,0.1605596,0.3211193,0.889074,1.080711
Max Variable Block Length,0.9513658,0.08194537,0.1638907,0.9347102,1.435819
Max Variable Block Length Excluding Ambiguous,0.7108594,0.6202532,1.240506,0.5453031,0
Min Pairwise Difference,0.9846769,1,1.969354,0.4923384,0
Min Pairwise Difference Excluding Ambiguous,0.8840773,1,1.768155,0.4420386,0
Number Invariable Block,0.3897402,0.8554297,0.7794803,0.2671552,0.6465042
Number Invariable Block Excluding Ambiguous,0.7901399,0.3917388,0.7834777,0.6992005,0.5593767
Segregating-Sites,0.8834111,0.3031312,0.6062625,0.7901399,0.5294006
Theta,0.8834111,0.3031312,0.6062625,0.7901399,0.5294008
Tajima-D,0.9133911,0.08660893,0.1732179,0.9133911,1.438754
Tajima-Pi,0.934044,0.06862092,0.1372418,0.9327115,1.586443
