Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.8754164,0.4063957,0.8127915,0.7345103,1.193713
Number Invariant Sites Excluding Ambiguous,0.2911392,0.8647568,0.5822785,0.2131912,0.9124694
Max Invariant Block Length,0.9813458,0.4063957,0.8127915,0.787475,1.883514
Max Invariant Block Length Excluding Ambiguous,0.4756829,0.9913391,0.9513658,0.2421719,1.534729
Max Pairwise Difference,0.9926716,0.06262492,0.1252498,0.9650233,1.606165
Max Pairwise Difference Excluding Ambiguous,1,0.03997335,0.0799467,0.9800133,1.998248
Max Variable Block Length,0.2211859,0.805463,0.4423718,0.2078614,1.527509
Max Variable Block Length Excluding Ambiguous,0.8894071,0.1232512,0.2465023,0.8830779,1.432236
Min Pairwise Difference,0.9713524,1,1.942705,0.4856762,0
Min Pairwise Difference Excluding Ambiguous,0.1352432,0.9493671,0.2704863,0.09293804,1.626259
Number Invariable Block,0.8860759,0.4063957,0.8127915,0.7398401,1.249753
Number Invariable Block Excluding Ambiguous,0.3944037,0.8201199,0.7888075,0.2871419,0.5869998
Segregating-Sites,0.4063957,0.8754164,0.8127915,0.2654897,1.193713
Theta,0.4063957,0.8754164,0.8127915,0.2654897,1.193711
Tajima-D,0.8147901,0.1858761,0.3717522,0.814457,0.8272622
Tajima-Pi,0.763491,0.2411726,0.4823451,0.7611592,0.6800595
