Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.5871376,0.7514162,1.174275,0.4178607,0
Number Invariant Sites Excluding Ambiguous,0.5731423,0.5454848,1.09097,0.5138287,0
Max Invariant Block Length,0.9006998,0.7514162,1.502832,0.5746418,0
Max Invariant Block Length Excluding Ambiguous,0.7694102,0.5874708,1.174942,0.5909697,0
Max Pairwise Difference,0.9013662,0.3098967,0.6197934,0.7957348,0.7196467
Max Pairwise Difference Excluding Ambiguous,1,0.09630123,0.1926025,0.9518494,1.389459
Max Variable Block Length,0.4528491,0.5841386,0.9056981,0.4343552,0.7512858
Max Variable Block Length Excluding Ambiguous,0.9016994,0.1652782,0.3305565,0.8682106,1.503771
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.7877374,0.3882039,0.7764079,0.6997667,0.5687363
Number Invariable Block,0.6164612,0.7514162,1.232922,0.4325225,0
Number Invariable Block Excluding Ambiguous,0.6824392,0.5081639,1.016328,0.5871376,0
Segregating-Sites,0.7514162,0.5871376,1.174275,0.5821393,0
Theta,0.7514162,0.5871376,1.174275,0.5821393,0
Tajima-D,0.2179274,0.7827391,0.4358547,0.2175941,0.7719832
Tajima-Pi,0.2395868,0.763079,0.4791736,0.2382539,0.716161
