Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4975008,0.7350883,0.9950017,0.3812063,0.5823333
Number Invariant Sites Excluding Ambiguous,0.664112,0.5044985,1.008997,0.5798067,0
Max Invariant Block Length,0.9676774,0.230923,0.4618461,0.8683772,1.652919
Max Invariant Block Length Excluding Ambiguous,0.9046984,0.1752749,0.3505498,0.8647118,1.381764
Max Pairwise Difference,1,0.001332889,0.002665778,0.9993336,2.626782
Max Pairwise Difference Excluding Ambiguous,0.9920027,0.03698767,0.07397534,0.9775075,1.976005
Max Variable Block Length,0.904032,0.1206265,0.2412529,0.8917028,1.544254
Max Variable Block Length Excluding Ambiguous,0.8957014,0.2029324,0.4058647,0.8463845,1.575718
Min Pairwise Difference,0.9750083,1,1.950017,0.4875042,0
Min Pairwise Difference Excluding Ambiguous,0.9710097,1,1.942019,0.4855048,0
Number Invariable Block,0.2872376,0.9343552,0.5744752,0.1764412,0.6931143
Number Invariable Block Excluding Ambiguous,0.1622792,0.9783406,0.3245585,0.09196934,1.439659
Segregating-Sites,0.7350883,0.4975008,0.9950017,0.6187937,0.5823333
Theta,0.7350883,0.4975008,0.9950017,0.6187937,0.5823342
Tajima-D,0.8973675,0.1026325,0.2052649,0.8973675,1.226748
Tajima-Pi,0.9073642,0.09363545,0.1872709,0.9068644,1.247748
