Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9120586,0.3497668,0.6995336,0.7811459,1.37184
Number Invariant Sites Excluding Ambiguous,0.2824783,0.8607595,0.5649567,0.2108594,0.9371297
Max Invariant Block Length,0.9926716,0.3497668,0.6995336,0.8214524,2.022792
Max Invariant Block Length Excluding Ambiguous,0.4363757,0.9933378,0.8727515,0.221519,1.601868
Max Pairwise Difference,1,0.005996003,0.01199201,0.997002,2.342808
Max Pairwise Difference Excluding Ambiguous,1,0.07661559,0.1532312,0.9616922,1.497783
Max Variable Block Length,0.2038641,0.8227848,0.4077282,0.1905396,1.541416
Max Variable Block Length Excluding Ambiguous,0.8974017,0.1145903,0.2291805,0.8914057,1.466189
Min Pairwise Difference,0.9993338,1,1.998668,0.4996669,0
Min Pairwise Difference Excluding Ambiguous,0.8820786,1,1.764157,0.4410393,0
Number Invariable Block,0.9153897,0.3497668,0.6995336,0.7828115,1.404764
Number Invariable Block Excluding Ambiguous,0.4163891,0.8081279,0.8327781,0.3041306,0.6212266
Segregating-Sites,0.3497668,0.9120586,0.6995336,0.2188541,1.37184
Theta,0.3497668,0.9120586,0.6995336,0.2188541,1.371838
Tajima-D,0.9333777,0.06662225,0.1332445,0.9333777,1.357368
Tajima-Pi,0.8994004,0.1025983,0.2051965,0.8984011,1.183445
