Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9900033,0.02832389,0.05664778,0.9808397,2.219954
Number Invariant Sites Excluding Ambiguous,0.9343552,0.1042986,0.2085971,0.9150283,1.681945
Max Invariant Block Length,0.9990003,0.01066311,0.02132622,0.9941686,4.414063
Max Invariant Block Length Excluding Ambiguous,0.8013995,1,1.602799,0.4006998,0
Max Pairwise Difference,0.6527824,0.6114628,1.222926,0.5206598,0
Max Pairwise Difference Excluding Ambiguous,1,0.03732089,0.07464179,0.9813396,1.757491
Max Variable Block Length,0.8337221,0.1896035,0.3792069,0.8220593,0.5414679
Max Variable Block Length Excluding Ambiguous,0.7157614,0.3458847,0.6917694,0.6849384,0.4882625
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.829057,0.3272243,0.6544485,0.7509164,0.5938458
Number Invariable Block,0.781073,0.401866,0.8037321,0.6896035,0.5358937
Number Invariable Block Excluding Ambiguous,0.2972343,0.8720427,0.5944685,0.2125958,0.5346036
Segregating-Sites,0.02832389,0.9900033,0.05664778,0.01916028,2.219954
Theta,0.02832389,0.9900033,0.05664778,0.01916028,2.219951
Tajima-D,0.8403865,0.1596135,0.3192269,0.8403865,1.000652
Tajima-Pi,0.574142,0.4271909,0.8543819,0.5734755,0.1955889
