Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9560147,0.125958,0.251916,0.9150283,1.439883
Number Invariant Sites Excluding Ambiguous,0.2649117,0.8627124,0.5298234,0.2010996,0.8317698
Max Invariant Block Length,0.9933356,0.1192936,0.2385871,0.937021,1.853845
Max Invariant Block Length Excluding Ambiguous,0.5038321,1,1.007664,0.251916,0
Max Pairwise Difference,0.5428191,0.7050983,1.085638,0.4188604,0
Max Pairwise Difference Excluding Ambiguous,1,0.006664445,0.01332889,0.9966678,2.635856
Max Variable Block Length,0.3595468,0.6694435,0.7190936,0.3450516,0.171312
Max Variable Block Length Excluding Ambiguous,0.706098,0.4175275,0.835055,0.6442852,0.3068192
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.5524825,0.6977674,1.104965,0.4273575,0
Number Invariable Block,0.7440853,0.5381539,1.076308,0.6029657,0
Number Invariable Block Excluding Ambiguous,0.2999,0.9106964,0.5998001,0.1946018,0.660543
Segregating-Sites,0.125958,0.9560147,0.251916,0.08497168,1.439883
Theta,0.125958,0.9560147,0.251916,0.08497168,1.439874
Tajima-D,0.5134955,0.4868377,0.9736754,0.5133289,0.04233782
Tajima-Pi,0.3362213,0.6657781,0.6724425,0.3352216,0.4297936
