Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4990007,0.7161892,0.9980013,0.3914057,0.5452183
Number Invariant Sites Excluding Ambiguous,0.9766822,0.0532978,0.1065956,0.9616922,1.421347
Max Invariant Block Length,0.7734843,0.9073951,1.546969,0.4330446,0
Max Invariant Block Length Excluding Ambiguous,0.9860093,0.02798135,0.05596269,0.979014,2.839258
Max Pairwise Difference,0.8947368,0.2958028,0.5916056,0.799467,0.6397191
Max Pairwise Difference Excluding Ambiguous,0.8767488,0.2958028,0.5916056,0.790473,0.9453146
Max Variable Block Length,0.8794137,0.1325783,0.2651566,0.8734177,1.350608
Max Variable Block Length Excluding Ambiguous,0.7135243,0.4083944,0.8167888,0.652565,0.6691886
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.326449,1,0.6528981,0.1632245,1.392685
Number Invariable Block,0.5549634,0.6968688,1.109927,0.4290473,0
Number Invariable Block Excluding Ambiguous,0.2311792,0.8994004,0.4623584,0.1658894,0.9882126
Segregating-Sites,0.7161892,0.4990007,0.9980013,0.6085943,0.5452183
Theta,0.7161892,0.4990007,0.9980013,0.6085943,0.5452135
Tajima-D,0.1192538,0.8807462,0.2385077,0.1192538,1.221506
Tajima-Pi,0.1365756,0.8634244,0.2731512,0.1365756,1.198368
