Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4083944,0.7834777,0.8167888,0.3124584,0.4745944
Number Invariant Sites Excluding Ambiguous,0.5136576,0.6189207,1.027315,0.4473684,0
Max Invariant Block Length,0.532978,0.9886742,1.065956,0.2721519,0
Max Invariant Block Length Excluding Ambiguous,0.6895403,0.5802798,1.16056,0.5546302,0
Max Pairwise Difference,0.9566955,0.09127249,0.182545,0.9327115,1.409338
Max Pairwise Difference Excluding Ambiguous,0.6082612,0.5896069,1.179214,0.5093271,0
Max Variable Block Length,0.6582278,0.4397069,0.8794137,0.6092605,0.1741993
Max Variable Block Length Excluding Ambiguous,0.9180546,0.164557,0.3291139,0.8767488,1.35723
Min Pairwise Difference,0.685543,1,1.371086,0.3427715,0
Min Pairwise Difference Excluding Ambiguous,0.6429047,0.5076616,1.015323,0.5676216,0
Number Invariable Block,0.550966,0.6942039,1.101932,0.4283811,0
Number Invariable Block Excluding Ambiguous,0.479014,0.7628248,0.958028,0.3580946,0.6773685
Segregating-Sites,0.7834777,0.4083944,0.8167888,0.6875416,0.4745944
Theta,0.7834777,0.4083944,0.8167888,0.6875416,0.4745944
Tajima-D,0.6202532,0.3850766,0.7701532,0.6175883,0.2823783
Tajima-Pi,0.6575616,0.3584277,0.7168554,0.649567,0.3946248
