Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7164279,0.5401533,1.080307,0.5881373,0
Number Invariant Sites Excluding Ambiguous,0.9336888,0.1456181,0.2912363,0.8940353,1.540242
Max Invariant Block Length,0.9896701,0.1196268,0.2392536,0.9350217,1.750946
Max Invariant Block Length Excluding Ambiguous,0.9796734,0.05331556,0.1066311,0.9631789,2.693175
Max Pairwise Difference,1,0.002332556,0.004665112,0.9988337,2.981334
Max Pairwise Difference Excluding Ambiguous,0.9770077,0.08863712,0.1772742,0.9441853,1.654887
Max Variable Block Length,0.7837388,0.2545818,0.5091636,0.7645785,0.7820542
Max Variable Block Length Excluding Ambiguous,0.7490836,0.3662113,0.7324225,0.6914362,0.9457142
Min Pairwise Difference,0.7594135,1,1.518827,0.3797068,0
Min Pairwise Difference Excluding Ambiguous,0.7230923,1,1.446185,0.3615462,0
Number Invariable Block,0.4855048,0.8340553,0.9710097,0.3257248,0.805885
Number Invariable Block Excluding Ambiguous,0.2855715,0.9380207,0.571143,0.1737754,0.7847424
Segregating-Sites,0.5401533,0.7164279,1.080307,0.4118627,0
Theta,0.5401533,0.7164279,1.080307,0.4118627,0
Tajima-D,0.7010996,0.2999,0.5998001,0.7005998,0.5114975
Tajima-Pi,0.6817727,0.3212263,0.6424525,0.6802732,0.4392363
