Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2352549,0.8997001,0.4705098,0.1677774,0.867417
Number Invariant Sites Excluding Ambiguous,0.1756081,0.8940353,0.3512163,0.1407864,1.021351
Max Invariant Block Length,0.6501166,0.973009,1.300233,0.3385538,0
Max Invariant Block Length Excluding Ambiguous,0.7657448,0.3572143,0.7144285,0.7042652,0.8704306
Max Pairwise Difference,0.9976674,0.007664112,0.01532822,0.9950017,2.70335
Max Pairwise Difference Excluding Ambiguous,0.916028,0.1996001,0.3992003,0.8582139,0.8486609
Max Variable Block Length,0.9606798,0.04665112,0.09330223,0.9570143,2.222393
Max Variable Block Length Excluding Ambiguous,0.9916694,0.02232589,0.04465178,0.9846718,2.714877
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9993336,1,1.998667,0.4996668,0
Number Invariable Block,0.2672443,0.8913695,0.5344885,0.1879374,1.072302
Number Invariable Block Excluding Ambiguous,0.08730423,0.976008,0.1746085,0.05564812,1.446319
Segregating-Sites,0.8997001,0.2352549,0.4705098,0.8322226,0.867417
Theta,0.8997001,0.2352549,0.4705098,0.8322226,0.8674169
Tajima-D,0.9593469,0.04065312,0.08130623,0.9593469,1.864103
Tajima-Pi,0.9813396,0.01866045,0.03732089,0.9813396,2.165838
