Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.8367755,0.508994,1.017988,0.6638907,0
Number Invariant Sites Excluding Ambiguous,0.6309127,0.7581612,1.261825,0.4363757,0
Max Invariant Block Length,0.9786809,0.508994,1.017988,0.7348434,0
Max Invariant Block Length Excluding Ambiguous,0.7728181,1,1.545636,0.3864091,0
Max Pairwise Difference,1,0.02798135,0.05596269,0.9860093,2.255123
Max Pairwise Difference Excluding Ambiguous,0.9986676,0.02864757,0.05729514,0.98501,2.114002
Max Variable Block Length,0.508994,0.6588941,1.017988,0.42505,0
Max Variable Block Length Excluding Ambiguous,0.7581612,0.4043971,0.8087941,0.6768821,0.2604876
Min Pairwise Difference,0.1159227,0.9733511,0.2318454,0.07128581,1.285958
Min Pairwise Difference Excluding Ambiguous,0.1012658,0.976016,0.2025316,0.06262492,1.77433
Number Invariable Block,0.8454364,0.508994,1.017988,0.6682212,0
Number Invariable Block Excluding Ambiguous,0.769487,0.7508328,1.501666,0.5093271,0
Segregating-Sites,0.508994,0.8367755,1.017988,0.3361093,0
Theta,0.508994,0.8367755,1.017988,0.3361093,0
Tajima-D,0.934044,0.06662225,0.1332445,0.9337109,1.375188
Tajima-Pi,0.8894071,0.1132578,0.2265157,0.8880746,1.075626
