Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.871043,0.4701766,0.9403532,0.7004332,1.241622
Number Invariant Sites Excluding Ambiguous,0.9990003,0.003332223,0.006664445,0.9978341,4.07249
Max Invariant Block Length,0.9860047,0.4701766,0.9403532,0.757914,1.897179
Max Invariant Block Length Excluding Ambiguous,1,0,0,1,10.64182
Max Pairwise Difference,1,0.01032989,0.02065978,0.9948351,2.145002
Max Pairwise Difference Excluding Ambiguous,0.9876708,0.06664445,0.1332889,0.9605132,1.451759
Max Variable Block Length,0.04731756,0.9606798,0.09463512,0.04331889,3.05089
Max Variable Block Length Excluding Ambiguous,0.3698767,0.6661113,0.7397534,0.3518827,0.5346448
Min Pairwise Difference,0.7790736,1,1.558147,0.3895368,0
Min Pairwise Difference Excluding Ambiguous,0.1256248,1,0.2512496,0.0628124,1.143525
Number Invariable Block,0.8787071,0.4701766,0.9403532,0.7042652,1.286377
Number Invariable Block Excluding Ambiguous,0.6637787,0.598134,1.196268,0.5328224,0
Segregating-Sites,0.4701766,0.871043,0.9403532,0.2995668,1.241622
Theta,0.4701766,0.871043,0.9403532,0.2995668,1.241622
Tajima-D,0.005331556,0.9946684,0.01066311,0.005331556,3.193551
Tajima-Pi,0.004998334,0.9950017,0.009996668,0.004998334,3.246913
