Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2295901,0.9083639,0.4591803,0.1606131,0.9085146
Number Invariant Sites Excluding Ambiguous,0.08263912,0.9693436,0.1652782,0.05664778,1.365485
Max Invariant Block Length,0.6327891,0.9813396,1.265578,0.3257248,0
Max Invariant Block Length Excluding Ambiguous,0.4935022,1,0.9870043,0.2467511,0.654648
Max Pairwise Difference,0.994002,0.02999,0.05998001,0.982006,1.957203
Max Pairwise Difference Excluding Ambiguous,0.9353549,0.167944,0.335888,0.8837054,0.8593796
Max Variable Block Length,0.967011,0.03698767,0.07397534,0.9650117,1.986926
Max Variable Block Length Excluding Ambiguous,0.9750083,0.07664112,0.1532822,0.9491836,2.11271
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.5171609,0.6951016,1.034322,0.4110297,0
Number Invariable Block,0.2749084,0.8977008,0.5498167,0.1886038,1.137065
Number Invariable Block Excluding Ambiguous,0.2375875,0.9120293,0.4751749,0.1627791,1.324792
Segregating-Sites,0.9083639,0.2295901,0.4591803,0.8393869,0.9085146
Theta,0.9083639,0.2295901,0.4591803,0.8393869,0.9085156
Tajima-D,0.9336888,0.06631123,0.1326225,0.9336888,1.486941
Tajima-Pi,0.9816728,0.01966011,0.03932023,0.9810063,1.919455
