Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.7235177,0.5423051,1.08461,0.5906063,0
Number Invariant Sites Excluding Ambiguous,0.05662891,0.9786809,0.1132578,0.03897402,1.702571
Max Invariant Block Length,0.8834111,0.8101266,1.620253,0.5366422,0
Max Invariant Block Length Excluding Ambiguous,0.4930047,0.9407062,0.9860093,0.2761492,0.9225871
Max Pairwise Difference,0.994004,0.02864757,0.05729514,0.9826782,2.347998
Max Pairwise Difference Excluding Ambiguous,1,0.05263158,0.1052632,0.9736842,1.769014
Max Variable Block Length,0.4703531,0.5942705,0.9407062,0.4380413,0.154081
Max Variable Block Length Excluding Ambiguous,0.9633578,0.1012658,0.2025316,0.931046,1.704989
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.4043971,0.7834777,0.8087941,0.3104597,0.573728
Number Invariable Block,0.7681546,0.520986,1.041972,0.6235843,0
Number Invariable Block Excluding Ambiguous,0.182545,0.9247169,0.3650899,0.1289141,0.9230981
Segregating-Sites,0.5423051,0.7235177,1.08461,0.4093937,0
Theta,0.1165889,0.8834111,0.2331779,0.1165889,0.9572914
Tajima-D,0.9926716,0.007328448,0.0146569,0.9926716,2.24693
Tajima-Pi,0.8774151,0.1225849,0.2451699,0.8774151,1.182619
