Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.901033,0.2169277,0.4338554,0.8420526,1.232052
Number Invariant Sites Excluding Ambiguous,0.1902699,0.8983672,0.3805398,0.1459513,1.015914
Max Invariant Block Length,0.9856714,0.1509497,0.3018994,0.9173609,1.810461
Max Invariant Block Length Excluding Ambiguous,0.4815062,0.9556814,0.9630123,0.2629124,0.9057318
Max Pairwise Difference,0.7147617,0.4918361,0.9836721,0.6114628,0.5462694
Max Pairwise Difference Excluding Ambiguous,1,0.002999,0.005998001,0.9985005,2.460213
Max Variable Block Length,0.4578474,0.5701433,0.9156948,0.443852,0.08611312
Max Variable Block Length Excluding Ambiguous,0.7287571,0.347884,0.6957681,0.6904365,0.5137751
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.6387871,0.6394535,1.277574,0.4996668,0
Number Invariable Block Excluding Ambiguous,0.1846051,0.9516828,0.3692103,0.1164612,1.136246
Segregating-Sites,0.2169277,0.901033,0.4338554,0.1579474,1.232052
Theta,0.2169277,0.901033,0.4338554,0.1579474,1.232046
Tajima-D,0.901033,0.09896701,0.197934,0.901033,1.19996
Tajima-Pi,0.8273909,0.1729424,0.3458847,0.8272243,0.883358
