Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3618794,0.8613795,0.7237587,0.2502499,0.6137501
Number Invariant Sites Excluding Ambiguous,0.4418527,0.703099,0.8837054,0.3693769,0.3263532
Max Invariant Block Length,0.8460513,0.8613795,1.692103,0.4923359,0
Max Invariant Block Length Excluding Ambiguous,0.9886704,0.02299234,0.04598467,0.9828391,3.160968
Max Pairwise Difference,1,0,0,1,3.477907
Max Pairwise Difference Excluding Ambiguous,0.9946684,0.02799067,0.05598134,0.9833389,2.025378
Max Variable Block Length,0.3968677,0.6387871,0.7937354,0.3790403,0.3685655
Max Variable Block Length Excluding Ambiguous,0.9806731,0.02932356,0.05864712,0.9756748,2.610085
Min Pairwise Difference,0.9920027,1,1.984005,0.4960013,0
Min Pairwise Difference Excluding Ambiguous,0.9663446,1,1.932689,0.4831723,0
Number Invariable Block,0.3818727,0.8613795,0.7637454,0.2602466,0.6954503
Number Invariable Block Excluding Ambiguous,0.01566145,0.9973342,0.03132289,0.009163612,2.168495
Segregating-Sites,0.8613795,0.3618794,0.7237587,0.7497501,0.6137501
Theta,0.8613795,0.3618794,0.7237587,0.7497501,0.6137501
Tajima-D,0.7174275,0.2832389,0.5664778,0.7170943,0.5486283
Tajima-Pi,0.7894035,0.2135955,0.4271909,0.787904,0.799998
