Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.5542971,0.6289141,1.108594,0.4626915,0
Number Invariant Sites Excluding Ambiguous,0.03664224,0.9813458,0.07328448,0.02764823,1.842976
Max Invariant Block Length,0.6235843,0.9726849,1.247169,0.3254497,0
Max Invariant Block Length Excluding Ambiguous,0.05463025,0.9993338,0.1092605,0.02764823,0.8971627
Max Pairwise Difference,0.9966689,0.01665556,0.03331113,0.9900067,2.489876
Max Pairwise Difference Excluding Ambiguous,0.946036,0.1259161,0.2518321,0.91006,1.181933
Max Variable Block Length,0.817455,0.2151899,0.4303797,0.8011326,1.062836
Max Variable Block Length Excluding Ambiguous,0.9307129,0.1132578,0.2265157,0.9087275,1.792375
Min Pairwise Difference,0.958028,1,1.916056,0.479014,0
Min Pairwise Difference Excluding Ambiguous,0.3424384,0.8900733,0.6848767,0.2261825,0.7222424
Number Invariable Block,0.6275816,0.562958,1.125916,0.5323118,0
Number Invariable Block Excluding Ambiguous,0.5676216,0.661559,1.135243,0.4530313,0
Segregating-Sites,0.6289141,0.5542971,1.108594,0.5373085,0
Theta,0.6289141,0.5542971,1.108594,0.5373085,0
Tajima-D,0.9933378,0.006662225,0.01332445,0.9933378,2.337952
Tajima-Pi,0.9920053,0.00799467,0.01598934,0.9920053,2.325957
