Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.001998668,1,0.003997335,0.0009993338,2.754003
Number Invariant Sites Excluding Ambiguous,0.001332445,0.9993338,0.00266489,0.0009993338,2.866513
Max Invariant Block Length,0.001998668,1,0.003997335,0.0009993338,1.983069
Max Invariant Block Length Excluding Ambiguous,0.1399067,1,0.2798135,0.06995336,1.180873
Max Pairwise Difference,1,0,0,1,4.257191
Max Pairwise Difference Excluding Ambiguous,0.9986676,0.00799467,0.01598934,0.9953364,2.56121
Max Variable Block Length,1,0.001998668,0.003997335,0.9990007,5.697813
Max Variable Block Length Excluding Ambiguous,0.9780147,0.07061959,0.1412392,0.9536975,2.154547
Min Pairwise Difference,0.9273817,1,1.854763,0.4636909,0
Min Pairwise Difference Excluding Ambiguous,0.9013991,1,1.802798,0.4506995,0
Number Invariable Block,0.001998668,1,0.003997335,0.0009993338,3.151412
Number Invariable Block Excluding Ambiguous,0.02131912,0.9980013,0.04263824,0.01165889,2.43521
Segregating-Sites,1,0.001998668,0.003997335,0.9990007,2.754003
Theta,1,0.001998668,0.003997335,0.9990007,2.754002
Tajima-D,0.9913391,0.008660893,0.01732179,0.9913391,2.560606
Tajima-Pi,1,0,0,1,3.59224
