Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.6884372,1,1.376874,0.3442186,0
Number Invariant Sites Excluding Ambiguous,0.01899367,0.9973342,0.03798734,0.01082972,2.06193
Max Invariant Block Length,0.6884372,1,1.376874,0.3442186,0
Max Invariant Block Length Excluding Ambiguous,0.5474842,1,1.094968,0.2737421,0
Max Pairwise Difference,1,0.0003332223,0.0006664445,0.9998334,3.917638
Max Pairwise Difference Excluding Ambiguous,1,0.6234588,1.246918,0.6882706,0
Max Variable Block Length,1,0.6884372,1.376874,0.6557814,0
Max Variable Block Length Excluding Ambiguous,1,0.1032989,0.2065978,0.9483505,1.470392
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,1,1,2,0.5,nan
Number Invariable Block,0.6884372,1,1.376874,0.3442186,0
Number Invariable Block Excluding Ambiguous,0.03798734,0.9960013,0.07597468,0.020993,1.731058
Segregating-Sites,1,0.6884372,1.376874,0.6557814,0
Theta,1,0.6884372,1.376874,0.6557814,0
Tajima-D,0.9120293,0.08797068,0.1759414,0.9120293,1.366042
Tajima-Pi,0.9253582,0.07464179,0.1492836,0.9253582,1.441918
