Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9380413,0.2251832,0.4503664,0.856429,1.081954
Number Invariant Sites Excluding Ambiguous,0.8627582,0.51499,1.02998,0.6738841,0
Max Invariant Block Length,0.946036,0.5982678,1.196536,0.6738841,0
Max Invariant Block Length Excluding Ambiguous,0.988008,0.5096602,1.01932,0.7391739,0
Max Pairwise Difference,1,0.1099267,0.2198534,0.9450366,1.467061
Max Pairwise Difference Excluding Ambiguous,0.9780147,0.1372418,0.2744837,0.9203864,1.254858
Max Variable Block Length,0.3424384,0.7481679,0.6848767,0.2971352,0.5084294
Max Variable Block Length Excluding Ambiguous,0.6728847,0.7321785,1.345769,0.4703531,0
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9993338,1,1.998668,0.4996669,0
Number Invariable Block,0.9646902,0.1985343,0.3970686,0.8830779,1.192387
Number Invariable Block Excluding Ambiguous,0.637575,0.9813458,1.27515,0.3281146,0
Segregating-Sites,0.2251832,0.9380413,0.4503664,0.143571,1.081954
Theta,0.06195869,0.9380413,0.1239174,0.06195869,1.273561
Tajima-D,1,0,0,1,3.642721
Tajima-Pi,1,0,0,1,2.941759
