Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2071952,0.9373751,0.4143904,0.1349101,0.9969963
Number Invariant Sites Excluding Ambiguous,0.08727515,0.9487009,0.1745503,0.06928714,1.564914
Max Invariant Block Length,0.4477015,0.9906729,0.8954031,0.2285143,1.488509
Max Invariant Block Length Excluding Ambiguous,0.2551632,0.8374417,0.5103264,0.2088608,0.4146729
Max Pairwise Difference,0.9713524,0.05529647,0.1105929,0.958028,1.944347
Max Pairwise Difference Excluding Ambiguous,0.9546969,0.1432378,0.2864757,0.9057295,1.542981
Max Variable Block Length,0.9773484,0.04530313,0.09060626,0.9660227,1.743162
Max Variable Block Length Excluding Ambiguous,0.892072,0.3391073,0.6782145,0.7764823,0.9563627
Min Pairwise Difference,0.9893404,0.1305796,0.2611592,0.9293804,2.590699
Min Pairwise Difference Excluding Ambiguous,0.9733511,0.08061292,0.1612258,0.9463691,1.64465
Number Invariable Block,0.3037975,0.9067288,0.6075949,0.1985343,0.6330279
Number Invariable Block Excluding Ambiguous,0.9560293,0.1245836,0.2491672,0.9157229,1.643593
Segregating-Sites,0.9373751,0.2071952,0.4143904,0.8650899,0.9969963
Theta,0.9373751,0.2071952,0.4143904,0.8650899,0.9969952
Tajima-D,0.9600266,0.04063957,0.08127915,0.9596935,1.938924
Tajima-Pi,0.9713524,0.0326449,0.06528981,0.9693538,2.11242
