Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.4330446,1,0.8660893,0.2165223,1.130929
Number Invariant Sites Excluding Ambiguous,0.2298468,1,0.4596935,0.1149234,0.9017887
Max Invariant Block Length,0.4330446,1,0.8660893,0.2165223,1.675107
Max Invariant Block Length Excluding Ambiguous,0.4956696,1,0.9913391,0.2478348,1.221442
Max Pairwise Difference,1,0.05063291,0.1012658,0.9746835,1.768989
Max Pairwise Difference Excluding Ambiguous,0.9540306,0.2071952,0.4143904,0.8734177,1.387554
Max Variable Block Length,1,0.4330446,0.8660893,0.7834777,0.4755907
Max Variable Block Length Excluding Ambiguous,1,0.7774817,1.554963,0.6112592,0
Min Pairwise Difference,0.9300466,0.2171885,0.4343771,0.856429,1.038462
Min Pairwise Difference Excluding Ambiguous,0.5956029,0.6129247,1.191206,0.4913391,0
Number Invariable Block,0.4330446,1,0.8660893,0.2165223,1.270658
Number Invariable Block Excluding Ambiguous,0.5669554,0.9993338,1.133911,0.2838108,0
Segregating-Sites,1,0.4330446,0.8660893,0.7834777,1.130929
Theta,1,0.4330446,0.8660893,0.7834777,1.13093
Tajima-D,0.7541639,0.2465023,0.4930047,0.7538308,0.5712013
Tajima-Pi,0.8900733,0.1139241,0.2278481,0.8880746,0.9729815
