Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.2382539,0.8977008,0.4765078,0.1702766,0.8650302
Number Invariant Sites Excluding Ambiguous,0.1536155,0.9016994,0.3072309,0.125958,1.140859
Max Invariant Block Length,0.649117,0.9750083,1.298234,0.3370543,0
Max Invariant Block Length Excluding Ambiguous,0.8090636,0.3032323,0.6064645,0.7529157,1.077542
Max Pairwise Difference,0.9990003,0.004998334,0.009996668,0.997001,3.015551
Max Pairwise Difference Excluding Ambiguous,0.9210263,0.1999334,0.3998667,0.8605465,0.8543567
Max Variable Block Length,0.9616794,0.04131956,0.08263912,0.9601799,2.141361
Max Variable Block Length Excluding Ambiguous,0.994002,0.02265911,0.04531823,0.9856714,2.844683
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.9960013,1,1.992003,0.4980007,0
Number Invariable Block,0.2722426,0.8900367,0.5444852,0.191103,0.533911
Number Invariable Block Excluding Ambiguous,0.06231256,0.9786738,0.1246251,0.04181939,1.483646
Segregating-Sites,0.8977008,0.2382539,0.4765078,0.8297234,0.8650302
Theta,0.8977008,0.2382539,0.4765078,0.8297234,0.8650301
Tajima-D,0.9576808,0.04231923,0.08463845,0.9576808,1.833739
Tajima-Pi,0.9840053,0.01632789,0.03265578,0.9838387,2.219236
