Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.3464357,0.8547635,0.6928714,0.2458361,0.5057635
Number Invariant Sites Excluding Ambiguous,0.5316456,0.5769487,1.063291,0.4773484,0
Max Invariant Block Length,0.6362425,0.9680213,1.272485,0.3341106,0
Max Invariant Block Length Excluding Ambiguous,0.6888741,0.4503664,0.9007328,0.6192538,0.3515632
Max Pairwise Difference,0.8740839,0.218521,0.437042,0.8277815,0.9373123
Max Pairwise Difference Excluding Ambiguous,0.9140573,0.2158561,0.4317122,0.8491006,1.023647
Max Variable Block Length,0.9320453,0.1059294,0.2118588,0.913058,1.31108
Max Variable Block Length Excluding Ambiguous,0.6095936,0.6895403,1.219187,0.4600266,0
Min Pairwise Difference,0.958028,1,1.916056,0.479014,0
Min Pairwise Difference Excluding Ambiguous,0.8814124,1,1.762825,0.4407062,0
Number Invariable Block,0.4217189,0.8201199,0.8434377,0.3007995,0.6230841
Number Invariable Block Excluding Ambiguous,0.751499,0.4783478,0.9566955,0.6365756,0.5732972
Segregating-Sites,0.8547635,0.3464357,0.6928714,0.7541639,0.5057635
Theta,0.8547635,0.3464357,0.6928714,0.7541639,0.5057636
Tajima-D,0.8134577,0.1892072,0.3784144,0.8121252,0.8628891
Tajima-Pi,0.8321119,0.1718854,0.3437708,0.8301133,1.008989
