Statistic,Lower 1-tailed,Upper 1-tailed,Two-tailed,Midpoint,Effect Size
Number Invariant Sites,0.9900067,0.04063957,0.08127915,0.9746835,2.713904
Number Invariant Sites Excluding Ambiguous,0.9427049,0.146569,0.2931379,0.898068,1.329531
Max Invariant Block Length,0.9946702,0.08394404,0.1678881,0.9553631,1.771345
Max Invariant Block Length Excluding Ambiguous,0.7388408,1,1.477682,0.3694204,0
Max Pairwise Difference,0.007328448,1,0.0146569,0.003664224,3.00086
Max Pairwise Difference Excluding Ambiguous,1,0.004663558,0.009327115,0.9976682,2.961945
Max Variable Block Length,0.1745503,0.8494337,0.3491006,0.1625583,0.4667092
Max Variable Block Length Excluding Ambiguous,0.1212525,0.9427049,0.242505,0.08927382,0.5644478
Min Pairwise Difference,1,1,2,0.5,nan
Min Pairwise Difference Excluding Ambiguous,0.03397735,0.9833444,0.0679547,0.02531646,2.126272
Number Invariable Block,0.8854097,0.3597602,0.7195203,0.7628248,1.006971
Number Invariable Block Excluding Ambiguous,0.9367089,0.3391073,0.6782145,0.7988008,1.21101
Segregating-Sites,0.04063957,0.9900067,0.08127915,0.02531646,2.713904
Theta,0.04063957,0.9900067,0.08127915,0.02531646,2.713891
Tajima-D,0,1,0,0,4.344014
Tajima-Pi,0,1,0,0,6.440382
